ID,nomeArtistico,generoMusical,descricao,categoria,youtube,instagram,status,valorTipoEvento,endereco,notaMedia,QtdDeVotos,QtdDeEventosPresente,QtdDeStrike,SequenciaDeEventoSeguido,QtdDeVisualizacoes,QtdVisualizacoesSucesso
11,Banda Taffo,"""[{ ""ID"" : 10, ""Tipo"" : ""Brega""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de Brega,Banda,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,67,170,0,8,173,171
12,Barão Vermelho,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda Clássica,outros,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/palittointimistas/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,76,190,1,9,303,295
13,Betinho & Seu Conjunto,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de Baião,Banda,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,84,198,1,0,309,285
14,Biquini Cavadão,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Baião,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/caramelotdp/?hl=pt-br,Desativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,61,97,0,2,420,148
15,Blitz,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de ritmos nordestinos,Solo,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/palittointimistas/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",1,102,141,1,1,326,262
16,Burning in Hell,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Jazz,Dupla,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Desativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,51,196,0,3,479,313
17,Cachorro Grande,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de brega,Solo,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,27,44,2,4,497,154
18,Camisa de Vênus,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de forró,Solo,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,89,182,0,7,257,186
19,Capital Inicial,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de ritmos nordestinos,Dupla,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,82,153,1,7,426,182
20,Carlos Gonzaga,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de ritmos nordestinos,Dupla,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,98,165,0,0,440,410
21,Casa das Máquinas,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de Funk,Orquestra,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/caramelotdp/?hl=pt-br,Banido,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,63,175,3,5,467,220
22,Cascavelletes,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda Clássica,outros,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/palittointimistas/?hl=pt-br,Desativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,61,145,0,6,224,171
23,Cássia Eller,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda Clássica,Orquestra,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,112,198,0,5,206,204
24,Cazuza,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Funk,Dupla,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,65,200,0,8,402,397
25,Celly Campello,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de brega,Dupla,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,0,183,0,8,195,192
